episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,custom_metrics/sdae_loss,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
3.532100000000213,-6.0090999999998544,-0.6734800000000405,600.8,3,8,42240,False,5,11,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-35-08,1611200108,17.223271369934082,195.78519582748413,12028,dewe-System-Product-Name,192.168.1.2,195.78519582748413,0,11,92ed9_00000,65216492.0,"[2.0485999999998086, -1.023200000000429, -6.0090999999998544, 3.532100000000213, -1.9157999999999404]","[613, 620, 657, 537, 577]",821.823,4672.539,16969.059,226.294,3.209,42240,42240,9.128,70.896,0.0,2.278125,5e-05,0.023777138005243614,0.0038351091207005084,0.5631359386461554,0.013178358,0.006281775276875123,1.5788174532353878,0.0
3.532100000000213,-6.0090999999998544,-0.6623666666667057,620.0,1,8,46080,False,6,12,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-35-25,1611200125,17.356047868728638,213.14124369621277,12028,dewe-System-Product-Name,192.168.1.2,213.14124369621277,0,12,92ed9_00000,23915168.0,"[-0.6068000000000318, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544]","[716, 537, 577, 613, 620, 657]",815.129,4710.91,16952.056,226.521,3.236,46080,46080,7.808000000000001,70.864,0.0,2.278125,5e-05,0.014699103555358306,0.0006047343922546133,0.1423487725915038,-0.12991372,0.005561975136515684,1.5780194252729416,0.0
3.532100000000213,-6.0090999999998544,-0.6190181818181554,680.8181818181819,5,8,49920,False,11,13,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-35-42,1611200142,17.121931076049805,230.26317477226257,12028,dewe-System-Product-Name,192.168.1.2,230.26317477226257,0,13,92ed9_00000,29540404.0,"[-0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318]","[769, 732, 769, 724, 775, 537, 577, 613, 620, 657, 716]",823.435,4663.392,16926.64,226.861,3.155,49920,49920,7.1000000000000005,70.87916666666666,0.0,2.278125,5e-05,0.007349138264544308,-0.0016104954993352294,0.1902964993932983,-0.092643276,0.0030975786903582048,1.5855857878923416,0.0
3.532100000000213,-6.0090999999998544,-0.43282307692305805,699.9230769230769,2,8,53760,False,13,14,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-35-59,1611200159,16.99277138710022,247.2559461593628,12028,dewe-System-Product-Name,192.168.1.2,247.2559461593628,0,14,92ed9_00000,2112133.25,"[-1.4898000000000131, 2.672299999999968, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444]","[828, 782, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775]",826.813,4644.338,16833.871,228.112,3.071,53760,53760,7.5125,70.87916666666668,0.0,1.1390625,5e-05,0.005017508985474706,-0.000698730000294745,0.28276268238550983,-0.14969149,0.002535956089559477,1.6012964472174644,0.0
3.532100000000213,-6.0090999999998544,-0.4159357142857001,712.2857142857143,1,8,57600,False,14,15,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-36-16,1611200176,16.84988284111023,264.105829000473,12028,dewe-System-Product-Name,192.168.1.2,264.105829000473,0,15,92ed9_00000,1433176.625,"[-0.19640000000004676, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968]","[873, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782]",828.453,4635.147,16737.089,229.431,3.155,57600,57600,6.820833333333333,70.9,0.0,0.56953125,5e-05,0.0007792290998622775,-0.003098270215559751,0.18894141433702316,-0.19216782,0.0034907321678474545,1.584402959793806,0.0
3.532100000000213,-6.0090999999998544,-0.3742437499999922,739.25,2,8,61440,False,16,16,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-36-33,1611200193,16.943071603775024,281.04890060424805,12028,dewe-System-Product-Name,192.168.1.2,281.04890060424805,0,16,92ed9_00000,146129504.0,"[0.5509999999999984, -0.7158000000000726, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968, -0.19640000000004676]","[934, 922, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782, 873]",837.285,4586.254,16626.171,230.961,3.163,61440,61440,7.087999999999999,70.9,0.0,0.284765625,5e-05,0.0010900734923779964,-0.0024390846956521273,0.2617539271886926,-0.17675577,0.0032013030104280915,1.601023618131876,0.0
3.532100000000213,-6.0090999999998544,-0.3742437499999922,739.25,0,8,65280,False,16,17,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-36-49,1611200209,16.301689386367798,297.35058999061584,12028,dewe-System-Product-Name,192.168.1.2,297.35058999061584,0,17,92ed9_00000,117548568.0,"[3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968, -0.19640000000004676, 0.5509999999999984, -0.7158000000000726]","[537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782, 873, 934, 922]",835.595,4595.526,16456.548,233.342,3.249,65280,65280,6.730434782608695,70.90000000000003,0.0,0.1423828125,5e-05,-0.0008736711879464565,-0.008213412373152096,0.46761537578277057,-0.059177145,0.018707263632677495,1.5399529859423637,0.0
6.084100000000049,-6.0090999999998544,-0.1590368421052506,788.421052631579,3,8,69120,False,19,18,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-37-06,1611200226,16.939162254333496,314.28975224494934,12028,dewe-System-Product-Name,192.168.1.2,314.28975224494934,0,18,92ed9_00000,90860072.0,"[-0.8637999999999124, 6.084100000000049, -2.2541000000000224, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968, -0.19640000000004676, 0.5509999999999984, -0.7158000000000726]","[1050, 1066, 1036, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782, 873, 934, 922]",832.754,4611.207,16295.289,235.651,3.232,69120,69120,6.712500000000001,70.9,0.0,0.1423828125,5e-05,-0.0008962184656411409,-0.004173851106315851,0.20487098771263845,-0.09859332,0.008631182645331137,1.552574586123228,0.0
6.084100000000049,-6.655099999999237,-0.6814863636363391,832.2272727272727,3,8,72960,False,22,19,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-37-24,1611200244,17.758466720581055,332.0482189655304,12028,dewe-System-Product-Name,192.168.1.2,332.0482189655304,0,19,92ed9_00000,3037190.0,"[-3.857400000000105, -6.655099999999237, -1.458500000000356, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968, -0.19640000000004676, 0.5509999999999984, -0.7158000000000726, -0.8637999999999124, 6.084100000000049, -2.2541000000000224]","[1114, 1090, 1125, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782, 873, 934, 922, 1050, 1066, 1036]",833.783,4605.514,16303.0,235.539,3.397,72960,72960,7.452000000000001,70.9,0.0,0.1423828125,5e-05,5.43885980732739e-05,-0.0017317862948402762,0.088302657881286,-0.037699345,0.00634312739566667,1.554578486829996,0.0
6.084100000000049,-6.655099999999237,-0.4450759999999876,872.08,3,8,76800,False,25,20,d640b15c66e94cb9a09f05195649476d,2021-01-20_22-37-41,1611200261,16.78484535217285,348.83306431770325,12028,dewe-System-Product-Name,192.168.1.2,348.83306431770325,0,20,92ed9_00000,39810952.0,"[-0.0900000000001171, -0.44320000000002935, 4.398999999999916, 3.532100000000213, -1.9157999999999404, 2.0485999999998086, -1.023200000000429, -6.0090999999998544, -0.6068000000000318, -0.7708000000000936, -1.090299999999992, -3.3860999999996153, 0.31670000000028153, 2.0954999999999444, -1.4898000000000131, 2.672299999999968, -0.19640000000004676, 0.5509999999999984, -0.7158000000000726, -0.8637999999999124, 6.084100000000049, -2.2541000000000224, -3.857400000000105, -6.655099999999237, -1.458500000000356]","[1174, 1146, 1173, 537, 577, 613, 620, 657, 716, 769, 732, 769, 724, 775, 828, 782, 873, 934, 922, 1050, 1066, 1036, 1114, 1090, 1125]",835.462,4596.262,16183.126,237.284,3.312,76800,76800,6.629166666666667,70.9,0.0,0.1423828125,5e-05,-0.00043642957461997867,-0.0024057120317593217,0.10422600082529243,-0.032539096,0.006510785031423438,1.5531361363828182,0.0
